trialNum,participantId,prevUserX,prevUserY,curCenterX,curCenterY,width,time,success
1,1,255,324,117.5,187.5,52,600,1
2,1,128,193,117.5,327.5,52,779,1
3,1,127,331,327.5,257.5,52,541,1
4,1,327,249,327.5,117.5,52,539,1
5,1,328,115,117.5,187.5,52,680,1
6,1,110,198,117.5,117.5,52,521,1
7,1,122,104,187.5,327.5,52,689,1
8,1,190,323,187.5,187.5,52,569,1
9,1,190,187,327.5,327.5,52,650,1
10,1,332,311,187.5,327.5,52,622,1
11,1,188,317,257.5,327.5,52,479,1
12,1,270,329,117.5,257.5,52,681,1
13,1,128,256,117.5,117.5,52,569,1
14,1,116,118,327.5,327.5,52,730,1
15,1,318,319,187.5,117.5,52,591,1
16,1,182,104,187.5,187.5,52,530,1
17,1,183,189,187.5,117.5,52,640,1
18,1,191,116,187.5,327.5,52,588,1
19,1,191,333,257.5,257.5,52,441,1
20,1,248,261,327.5,187.5,52,531,1
21,1,326,193,117.5,257.5,52,768,1
22,1,121,251,117.5,117.5,52,622,1
23,1,120,116,187.5,117.5,52,580,1
24,1,176,126,187.5,327.5,52,600,1
25,1,186,331,187.5,327.5,52,309,1
26,1,186,331,117.5,117.5,52,611,1
27,1,127,118,117.5,327.5,52,548,1
28,1,124,318,327.5,327.5,52,661,1
29,1,320,328,327.5,187.5,52,589,1
30,1,328,194,187.5,257.5,52,651,1
31,1,195,257,327.5,327.5,52,510,1
32,1,341,331,187.5,117.5,52,791,1
33,1,197,130,327.5,187.5,52,539,1
34,1,318,182,187.5,187.5,52,499,1
35,1,185,176,187.5,257.5,52,469,1
36,1,185,265,327.5,187.5,52,542,1
37,1,322,189,257.5,187.5,52,449,1
38,1,254,189,257.5,257.5,52,462,1
39,1,254,245,327.5,117.5,52,500,1
40,1,331,101,257.5,187.5,52,430,1
41,1,263,181,187.5,187.5,52,490,1
42,1,189,186,257.5,327.5,52,960,1
43,1,256,337,257.5,327.5,52,279,1
44,1,256,337,257.5,257.5,52,551,1
45,1,258,254,327.5,117.5,52,569,1
46,1,327,105,327.5,257.5,52,570,1
47,1,331,251,117.5,117.5,52,811,1
48,1,132,118,117.5,327.5,52,629,1
49,1,129,329,117.5,327.5,52,480,1
50,1,126,329,187.5,187.5,52,561,1
51,1,196,196,257.5,187.5,52,409,1
52,1,251,193,187.5,117.5,52,599,1
53,1,183,129,117.5,257.5,52,535,1
54,1,119,257,117.5,327.5,52,430,1
55,1,111,335,117.5,257.5,52,456,1
56,1,118,254,257.5,117.5,52,600,1
57,1,254,128,117.5,187.5,52,520,1
58,1,118,189,257.5,117.5,52,501,1
59,1,264,115,327.5,117.5,52,488,1
60,1,343,122,117.5,117.5,52,660,1
61,1,123,116,257.5,257.5,52,601,1
62,1,261,264,187.5,117.5,52,490,1
63,1,193,126,257.5,187.5,52,431,1
64,1,265,197,257.5,187.5,52,320,1
65,1,265,197,117.5,187.5,52,569,1
66,1,119,191,257.5,117.5,52,530,1
67,1,258,109,117.5,257.5,52,638,1
68,1,132,260,257.5,327.5,52,537,1
69,1,263,331,327.5,327.5,52,476,1
70,1,331,327,327.5,257.5,52,449,1
71,1,332,252,117.5,187.5,52,471,1
72,1,95,187,187.5,327.5,52,570,1
73,1,184,327,327.5,117.5,52,608,1
74,1,323,117,117.5,257.5,52,572,1
75,1,110,258,117.5,187.5,52,439,1
76,1,122,180,117.5,187.5,52,223,1
77,1,122,180,327.5,257.5,52,566,1
78,1,315,260,327.5,327.5,52,421,1
79,1,319,319,187.5,327.5,52,650,1
80,1,175,314,257.5,327.5,52,449,1
81,1,255,328,257.5,187.5,52,460,1
82,1,256,186,257.5,117.5,52,412,1
83,1,260,121,257.5,327.5,52,520,1
84,1,261,332,327.5,117.5,52,558,1
85,1,321,117,117.5,327.5,52,592,1
86,1,117,321,327.5,187.5,52,599,1
87,1,326,187,117.5,327.5,52,610,1
